DATE,births,aaa,baa,tr10,U,regulations per capita,tobins q,DfASB1,DfASB2,RSAHORUSQ156S
7/1/92,3.3,7.98,8.703333333,6.616666667,7.6,504.9971357,78.54619261,0,0,64.1
10/1/92,3.4,8.023333333,8.87,6.743333333,7.4,506.9635753,83.51919679,0,0,64.3
1/1/93,3.3,7.733333333,8.403333333,6.28,7.2,508.0182264,87.12621447,0,0,63.9
4/1/93,3.3,7.406666667,8.14,5.99,7.1,508.0498057,88.45057608,0,0,64
7/1/93,3.4,6.893333333,7.623333333,5.616666667,6.8,507.7176157,89.91970403,0,0,64
10/1/93,3.3,6.843333333,7.553333333,5.606666667,6.6,507.8736047,89.36912223,0,0,64.1
1/1/94,3.3,7.16,7.846666667,6.066666667,6.6,509.3697216,85.88354391,0,0,64
4/1/94,3.5,7.946666667,8.596666667,7.083333333,6.2,512.6291019,83.44184055,0,0,63.9
7/1/94,3.5,8.173333333,8.84,7.333333333,6,516.3596299,86.23813837,0,0,63.9
10/1/94,3.4,8.57,9.206666667,7.836666667,5.6,518.8403766,82.27322807,0,0,64.1
1/1/95,3.4,8.28,8.876666667,7.483333333,5.5,518.3504134,89.02815997,0,0,64.4
4/1/95,3.3,7.66,8.233333333,6.62,5.7,513.7556499,93.87999826,0,0,64.7
7/1/95,3.3,7.433333333,8.053333333,6.323333333,5.7,506.2693503,99.70558672,0,0,64.8
10/1/95,3.4,6.986666667,7.64,5.893333333,5.6,497.691617,102.0025738,0,0,65.1
1/1/96,3.5,7.05,7.71,5.91,5.5,489.8225528,106.7262431,0,0,65.3
4/1/96,3.4,7.61,8.296666667,6.72,5.5,484.1296365,108.1503211,0,0,65.4
7/1/96,3.5,7.59,8.293333333,6.78,5.3,480.749853,111.0062079,0,0,65.4
10/1/96,3.6,7.23,7.916666667,6.343333333,5.3,479.4875634,107.1974792,0,0,65.4
1/1/97,3.5,7.426666667,8.07,6.563333333,5.2,480.1471289,102.4643154,0,0,65.5
4/1/97,3.5,7.573333333,8.186666667,6.696666667,5,482.395823,114.40863,0,0,65.7
7/1/97,3.4,7.17,7.756666667,6.243333333,4.9,485.3525685,124.4831624,0,0,65.8
10/1/97,3.3,6.876666667,7.436666667,5.906666667,4.7,487.9992007,116.7449352,0,0,65.8
1/1/98,3.6,6.666666667,7.253333333,5.586666667,4.6,489.3175547,128.2764489,0,0,66
4/1/98,3.7,6.636666667,7.253333333,5.596666667,4.4,488.635004,126.6307522,0,0,66.1
