date,formrate,aaa,baa,tr10 ,U,regulations per capita,Tobins Q Financial Accounts Use t-3 lag,DfASB1,DfASB2,chngU,chngUt-1,aaa-tr10,aaa-tr10t-1,tobQt-3,regpercapt-1,RSAHORUSQ156S,PITGCG01USQ661N,CBIC1,chngaaa-tr10t-1,HORt-1,chngHOR,chngRPI,chngRPIt-1,CBIC1t-1,chngPPI,chngPPIt-1,lagPPI
10/1/92,3.4,8.023333333,8.87,6.743333333,7.4,506.9635753,83.51919679,0,0,-0.2,0,1.28,1.363333333,74.09791254,504.9971357,64.3,59.94128201,31.266,0.463333333,64.1,0.2,4.01,-2.461,27.256,0.407762009,0.407762009,59.82710814
1/1/93,3.3,7.733333333,8.403333333,6.28,7.2,508.0182264,87.12621447,0,0,-0.2,-0.2,1.453333333,1.28,75.60334932,506.9635753,63.9,60.08807699,53.972,-0.083333333,64.3,-0.4,22.706,4.01,31.266,0.11417387,0.11417387,59.94128201
4/1/93,3.3,7.406666667,8.14,5.99,7.1,508.0498057,88.45057608,0,0,-0.1,-0.2,1.416666667,1.453333333,78.54619261,508.0182264,64,60.77312021,36.417,0.173333333,63.9,0.1,-17.555,22.706,53.972,0.146794976,0.146794976,60.08807699
7/1/93,3.4,6.893333333,7.623333333,5.616666667,6.8,507.7176157,89.91970403,0,0,-0.3,-0.1,1.276666666,1.416666667,83.51919679,508.0498057,64,60.08807699,2.412,-0.036666666,64,0,-34.005,-17.555,36.417,0.685043223,0.685043223,60.77312021
10/1/93,3.3,6.843333333,7.553333333,5.606666667,6.6,507.8736047,89.36912223,0,0,-0.2,-0.3,1.236666666,1.276666666,87.12621447,507.7176157,64.1,59.82710814,20.25,-0.140000001,64,0.1,17.838,-34.005,2.412,-0.685043223,-0.685043223,60.08807699
1/1/94,3.3,7.16,7.846666667,6.066666667,6.6,509.3697216,85.88354391,0,0,0,-0.2,1.093333333,1.236666666,88.45057608,507.8736047,64,59.9086609,64.167,-0.04,64.1,-0.1,43.917,17.838,20.25,-0.260968847,-0.260968847,59.82710814
4/1/94,3.5,7.946666667,8.596666667,7.083333333,6.2,512.6291019,83.44184055,0,0,-0.4,0,0.863333334,1.093333333,89.91970403,509.3697216,63.9,60.16962975,115.84,-0.143333333,64,-0.1,51.673,43.917,64.167,0.081552765,0.081552765,59.9086609
7/1/94,3.5,8.173333333,8.84,7.333333333,6,516.3596299,86.23813837,0,0,-0.2,-0.4,0.84,0.863333334,89.36912223,512.6291019,63.9,60.64263579,72.329,-0.229999999,63.9,0,-43.511,51.673,115.84,0.260968847,0.260968847,60.16962975
10/1/94,3.4,8.57,9.206666667,7.836666667,5.6,518.8403766,82.27322807,0,0,-0.4,-0.2,0.733333333,0.84,85.88354391,516.3596299,64.1,60.52846191,101.641,-0.023333334,63.9,0.2,29.312,-43.511,72.329,0.473006035,0.473006035,60.64263579
1/1/95,3.4,8.28,8.876666667,7.483333333,5.5,518.3504134,89.02815997,0,0,-0.1,-0.4,0.796666667,0.733333333,83.44184055,518.8403766,64.4,60.90360463,85,-0.106666667,64.1,0.3,-16.641,29.312,101.641,-0.11417387,-0.11417387,60.52846191
4/1/95,3.3,7.66,8.233333333,6.62,5.7,513.7556499,93.87999826,0,0,0.2,-0.1,1.04,0.796666667,86.23813837,518.3504134,64.7,61.50709509,48.502,0.063333334,64.4,0.3,-36.498,-16.641,85,0.375142717,0.375142717,60.90360463
7/1/95,3.3,7.433333333,8.053333333,6.323333333,5.7,506.2693503,99.70558672,0,0,0,0.2,1.11,1.04,82.27322807,513.7556499,64.8,61.62126896,11.031,0.243333333,64.7,0.1,-37.471,-36.498,48.502,0.603490458,0.603490458,61.50709509
10/1/95,3.4,6.986666667,7.64,5.893333333,5.6,497.691617,102.0025738,0,0,-0.1,0,1.093333334,1.11,89.02815997,506.2693503,65.1,61.8496167,17.74,0.07,64.8,0.3,6.709,-37.471,11.031,0.11417387,0.11417387,61.62126896
1/1/96,3.5,7.05,7.71,5.91,5.5,489.8225528,106.7262431,0,0,-0.1,-0.1,1.14,1.093333334,93.87999826,497.691617,65.3,62.32262274,2.39,-0.016666666,65.1,0.2,-15.35,6.709,17.74,0.228347741,0.228347741,61.8496167
4/1/96,3.4,7.61,8.296666667,6.72,5.5,484.1296365,108.1503211,0,0,0,-0.1,0.89,1.14,99.70558672,489.8225528,65.4,63.28494536,34.803,0.046666666,65.3,0.1,32.413,-15.35,2.39,0.473006035,0.473006035,62.32262274
7/1/96,3.5,7.59,8.293333333,6.78,5.3,480.749853,111.0062079,0,0,-0.2,0,0.81,0.89,102.0025738,484.1296365,65.4,63.72533029,76.867,-0.25,65.4,0,42.064,32.413,34.803,0.962322623,0.962322623,63.28494536
10/1/96,3.6,7.23,7.916666667,6.343333333,5.3,479.4875634,107.1974792,0,0,0,-0.2,0.886666667,0.81,106.7262431,480.749853,65.4,64.18202577,44.803,-0.08,65.4,0,-32.064,42.064,76.867,0.440384929,0.440384929,63.72533029
1/1/97,3.5,7.426666667,8.07,6.563333333,5.2,480.1471289,102.4643154,0,0,-0.1,0,0.863333334,0.886666667,108.1503211,479.4875634,65.5,63.93736748,37.241,0.076666667,65.4,0.1,-7.562,-32.064,44.803,0.456695482,0.456695482,64.18202577
