DATE,deathrate,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V,births,aaa,baa,tr10 ,caputz index,GPDI,NFB R output ph,OUTMS,IMPGSC,EXPGSC,GDPIC,real GPDI fixed equip,chng real priv inventories,RGDP,IP index,NROU,CAPUTL,LLBAC,population,DPIC96,IRLTLT01USQ156N,DPSACBQ158SBOG,RSAHORUSQ156S,PINCOME,CP,LES1252881600Q,A067RP1Q027SBEA,MABMM301USQ657S,USAGFCFQDSMEI,SPASTT01USQ661N,HOHWMN02USQ065S,LRAC25MAUSQ156S,ULQELP01USQ657S,LCULMN01USQ661S,IRSTCI01USQ156N,PITGCG01USQ661N,PRMNTO01USQ657S,USAPROINDQISMEI,CSINFT02USQ460S,LFEAAGTTUSQ647S,IRSTFR01USQ156N,LFWA24TTUSQ647S,LRIN25MAUSQ156S,PRS84006173,PRS88003173,LREM64TTUSQ156S,PRS30006013,WASCUR,DRIWCIL
7/1/92,2.8,111.002,5.25,7.722782324,6.735,3.3,7.98,8.703333333,6.616666667,80.7853,1024.162,65.215,70.219,854.135,797.168,1237.197,9.4,27.256,9732.979,65.4525,5.553059,80.7853,-0.3,257386,7179.108,6.616666667,-0.3,64.1,5456.272,323.237,314,4.5,0.110874535,3.24446E+11,22.72320454,40.76666667,93.13333333,0.693750776,95.70216746,3.22,59.82710814,1.018489282,62.86775008,3.9,3283385.324,3.22,32629405.35,6.928343771,110.731,113.778,70.92575007,140.041,2976.554,21.1
10/1/92,2.9,110.092,4.76,7.558866023,6.584,3.4,8.023333333,8.87,6.743333333,81.1595,1057.962,65.611,70.843,874.582,801.187,1274.945,15.6,31.266,9834.51,66.1438,5.537511,81.1595,2.1,258277,7211.805,6.743333333,2.2,64.3,5534.992,330.015,312,4.7,0.705674802,3.32579E+11,23.08346835,40.86666667,92.76666667,0.974571773,97.40105562,2.92,59.94128201,0.784062915,63.53178234,3.7,3247133.876,2.92,32616357.75,7.291388027,109.982,113.297,70.69503349,140.465,3020.771,16.4
1/1/93,3.1,109.469,4.41,7.248028086,6.508,3.3,7.733333333,8.403333333,6.28,81.4695,1083.829,65.046,71.645,893.518,803.009,1305.003,7.8,53.972,9850.973,66.7298,5.522455,81.4695,1.7,259039,7238.787,6.28,-0.8,63.9,5560.691,328.957,315,3.9,-0.289051095,3.34094E+11,24.13708694,41,92.46666667,-0.221909464,92.27920168,3.07,60.08807699,1.121266405,64.09464093,4.266666667,3131069.64,3.07,32621297.48,7.475318619,109.611,113.194,70.94101471,140.245,3015.937,14.8
4/1/93,2.9,110.316,4.01,7.188332035,6.406,3.3,7.406666667,8.14,5.99,81.3046,1094.479,64.661,71.905,911.978,812.631,1312.511,17,36.417,9908.347,66.8818,5.50790453,81.3046,3.2,259826,7261.182,5.99,3.6,64,5635.821,343.279,317,4,0.442153963,3.40892E+11,24.35835982,41.16666667,92.63333333,0.0270683,95.81132172,3.04,60.77312021,0.356979183,64.24063837,4.366666667,3105734.102,3.04,32588342.53,7.367524961,110.323,112.588,71.1550218,140.4,3066.45,26.3
7/1/93,2.7,109.553,3.61,6.909896501,6.289,3.4,6.893333333,7.623333333,5.616666667,81.2694,1095.852,64.944,72.057,923.989,810.46,1303.597,4.7,2.412,9955.641,67.1443,5.49386454,81.2694,5.3,260714,7267.508,5.616666667,1.3,64,5677.605,355.933,319,2.1,0.479077994,3.44982E+11,24.91094645,41.16666667,92.63333333,-0.077441933,96.59592631,3.09,60.08807699,0.20265113,64.49277213,4.6,3103615.666,3.09,32522969.72,7.427161748,109.827,112.467,71.30343275,140.506,3093.619,25.9
10/1/93,2.8,109.324,3.05,6.766792213,6.25,3.3,6.843333333,7.553333333,5.606666667,82.068,1153.142,65.198,73.273,961.109,836.583,1372.097,23.9,20.25,10091.049,68.1632,5.48034143,82.068,4.4,261547,7318.014,5.606666667,0.4,64.1,5757.671,375.422,319,5.2,0.593816188,3.57927E+11,25.45700337,41.33333333,92.5,0.919766776,97.47195925,2.96,59.82710814,1.70962975,65.47137125,3.7,3140198.799,2.96,32531809.48,7.501955582,109.266,111.304,71.42132958,140.929,3141.356,17.2
1/1/94,2.9,107.993,2.79,6.642259721,6.264,3.3,7.16,7.846666667,6.066666667,82.5367,1201.675,65.394,74.076,983.5,844.786,1424.36,11.8,64.167,10188.954,69.0083,5.46733856,82.5367,6,262250,7366.339,6.066666667,-0.3,64,5807.935,404.995,316,4.1,0.282656976,3.60001E+11,25.79400646,41.33333333,91.9,0.273322003,94.26263729,3.34,59.9086609,1.211823604,66.28316189,3.833333333,3318436.094,3.34,32567679.52,8.051818899,107.909,110.628,71.60174017,140.938,3152.713,29.3
4/1/94,2.9,108.306,2.4,6.251687685,6.339,3.5,7.946666667,8.596666667,7.083333333,83.3533,1264.948,65.445,75.729,1020.145,873.301,1494.411,2.4,115.84,10327.019,70.2582,5.454845,83.3533,7.2,263020,7440.527,7.083333333,-1.9,63.9,5912.749,418.333,317,6.4,0.200370061,3.68458E+11,24.7162052,41.76666667,91.56666667,0.857348201,94.47161639,4.25,60.16962975,2.289198497,67.48370275,4.133333333,3378027.566,4.25,32550006.66,8.379976219,108.268,110.287,71.81789719,141.476,3223.321,29.1
7/1/94,2.7,108.217,2.22,6.058349837,6.369,3.5,8.173333333,8.84,7.333333333,83.6367,1251.749,65.074,76.776,1048.832,905.984,1469.999,10.8,72.329,10387.382,71.1555,5.442838,83.6367,10.3,263870,7483.917,7.333333333,1.2,63.9,5978.373,439.704,314,5.3,0.08037047,3.75148E+11,25.18625738,41.7,91.5,0.054843891,94.71044965,4.73,60.64263579,1.487603858,68.34556796,4.5,3400197.18,4.73,32538111.9,8.454177791,108.289,109.731,72.06677775,142.813,3258.704,21.4
10/1/94,3,107.359,2.18,5.676887203,6.479,3.4,8.57,9.206666667,7.836666667,84.5304,1307.566,65.764,78.564,1078.342,926.9,1530.476,26.3,101.641,10506.372,72.632,5.431291,84.5304,11.1,264678,7591.307,7.836666667,0.6,64.1,6089.374,453.102,314,7.9,-0.020076482,3.83267E+11,24.96734683,41.8,91.9,0.166438013,94.50800115,5.45,60.52846191,2.478292781,69.7637923,4.1,3555380.272,5.45,32509712.17,8.132380098,107.499,109.147,72.55352689,144.028,3311.62,25
