births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
-0.453638872,0.247507462,-0.232216216,0.401632399,0.364064803,-0.13035627,0.122280383,-0.044078541,0.341344746,-0.176375968,0.079767491,0.157173733,-0.197210178,-0.11258518,-0.031253645,-0.174687347,0.039827837,-0.139230451,-0.206771213,-0.160502078,-0.091981315,-0.169960928,-0.062039597,0.059742118,-0.099908733,0.119848012,-0.208023246,-0.161299986
-0.071796308,0,-0.200550575,0.249439593,0.259191343,-0.124885989,0.109758065,-0.012820937,0.191462461,-0.193690073,0.109962301,0.109408525,-0.162038427,-0.089899498,-0.09105891,-0.014225746,-0.117911422,-0.133231722,-0.187507243,-0.124905977,-0.166462295,-0.126642241,-0.283188804,0.043101813,-0.069422302,0.112561923,-0.185852124,-0.113662163
-0.091095576,0,-0.133067616,-0.007253096,0.092727937,-0.118598963,0.045679984,-0.176215816,-0.191462461,-0.186122059,0.089894161,0.003166175,-0.179826294,-0.072193936,0.186875436,0.014225746,-0.117911422,-0.127254757,-0.147020063,-0.097866417,-0.051857615,-0.094483576,-0.055697218,0.182386193,-0.075763443,0.043605442,-0.174502717,-0.113642987
-0.093636464,0.247507462,-0.076776698,0.007253096,0.034433628,-0.045666488,0.032663607,0.055387811,0,-0.11827082,0.074683838,-0.151320829,-0.035921528,-0.060551093,0.050281911,0.052201247,0.117911422,-0.046203663,-0.123978599,-0.053699362,-0.132097051,-0.028434412,0.055697218,0.233062883,-0.060711596,0.028007571,-0.028471665,-0.075361609
0.238726265,0,-0.027040991,0.079259709,0.024610436,-0.029143331,-0.032663607,-0.314988043,0.191462461,0.007000903,0.023301544,-0.084837871,0.055410943,-0.020946341,-0.010161766,-0.094928773,-0.117911422,-0.030932448,-0.029471299,-0.038486701,0.051857615,-0.011575992,-0.326761982,0.136969748,-0.030377343,-0.028007571,0.028471665,-0.007461662
-0.108662376,0,0.039328358,0.007253096,-0.024610436,0.029143331,0.298440993,0.012820937,0,0.111562171,-0.023301544,0.180198509,-0.022877578,0.020946341,0.262320307,0.499999826,0.039827837,0.030932448,0.029471299,0.246284068,0.077705366,0.395533763,0.17034737,-0.043101813,0.030377343,0.328969507,-0.015826889,0.007461662
0.071796308,-0.247507462,0.027040991,-0.148701884,-0.149034843,0.065647638,-0.084381272,0.154105554,-0.191462461,0.03960852,-0.084837871,0.084837871,0.022877578,0.091774821,-0.190758683,-0.099616782,-0.039827837,0.066678374,0.040357819,0.038486701,0.109678276,0.011575992,-0.071072167,-0.080764866,0.066211779,-0.086048296,0.015826889,0.061139798
0.126355088,0,0.090648026,-0.332385865,-0.309632602,0.119305138,-0.134675481,0.232841161,0,0.011148706,-0.158763526,-0.003166175,0.068332787,0.139283516,-0.191814087,-0.076573745,-0.039827837,0.120480229,0.059730119,0.070097338,0.148100435,0.054431546,0.075574838,-0.223381718,0.149977349,-0.131804147,0.066183833,0.103804235
0.075111051,-0.40878878,0.132861613,-0.093424745,-0.111775887,0.107005248,-0.109758065,-0.226935693,0,0.05556986,-0.200546873,-0.097171171,0.197210178,0.199796922,0.010161766,0.12487289,0.191462461,0.097704156,0.116111815,0.123603906,-0.097575162,0.139892935,0.145048446,-0.235358557,0.168868421,-0.107071061,0.127559621,0.141606407
0.114028873,-0.40878878,0.208014301,-0.188254627,-0.121203056,0.120041929,-0.159036896,0.039827837,0.341344746,-0.007000903,-0.129741519,-0.347037374,0.267154572,0.250494709,0.143612545,0.281495646,0.258036348,0.103196869,0.18822068,0.174137574,0.108994984,0.212135114,0.237628252,-0.074177801,0.203435691,-0.151535685,0.157173733,0.167698088
0.105729414,-0.477249868,0.206415513,-0.373989543,-0.158145606,0.130071839,-0.097120813,-0.0113968,0.341344746,-0.07042079,-0.049095566,-0.375091431,0.230641436,0.287181517,0.010560175,0.424795574,0.191462461,0.104383934,0.182705462,0.214705746,0.347397134,0.26902206,-0.077373182,-0.115045639,0.246669702,-0.088905107,0.139507569,0.174341077
0.138231875,-0.373451046,0.263670535,-0.461934082,-0.251923621,0.141821561,-0.168139885,0.051025537,0.341344746,-0.27434557,-0.019797512,0.15258456,0.192869312,0.225724121,0.36356118,0.347157892,0.139507569,0.108874568,0.211276331,0.179413961,0.361469216,0.244384567,0.155095058,-0.014064444,0.227427964,-0.160908978,0.167063218,0.145036442
0.086105655,-0.309213047,0.300336478,-0.252017132,-0.117911422,0.073749388,-0.225746882,0.003666697,0.216145417,-0.304718055,-0.073885252,0.180547653,0.237534087,0.214713938,0.499952135,0.211141715,-0.033206752,0.008620238,0.21884629,0.168435573,0.007926084,0.200343176,0.22768201,-0.059683429,0.226195545,-0.238524416,0.211966838,0.077950441
0.081365326,-0.237730282,0.294490809,-0.169906563,-0.091252957,0.097946266,-0.191462461,0.173320888,0.234014471,-0.23363522,-0.139141268,-0.209057328,0.275093011,0.194946275,-0.014317132,0.155491028,0.036217587,0.023692541,0.289511164,0.188477632,0.44007895,0.183106684,0.116391536,-0.239352801,0.222818887,-0.186466894,0.286655959,0.065803432
-0.481642832,-0.112451519,0.245237335,-0.093610357,0.028471665,-0.327022953,-0.185366433,0.285928356,0.049738225,-0.200456632,0.05423309,-0.419623327,0.387781635,0.189088022,-0.148615053,0.040362271,0.48847869,-0.497201206,0.229800138,0.219842173,0.195196158,0.188499208,0.2028109,0.354480817,0.257982517,-0.179516126,0.40878878,0.125875131
0.499773411,-0.107468566,0.203227431,0.135529527,0.438285676,-0.04149126,-0.024163527,0.001149688,0,-0.18135524,0.072731759,-0.389456378,0.438881822,0.19222464,-0.358922567,0.156430147,0.499855519,-0.390759136,0.228621919,0.293767822,0.260223757,0.239287042,0.133514632,0.086021005,0.279828726,0.007052756,0.462770597,0.275033173
0.480475735,-0.049738225,0.198455336,0.191462461,0.478670176,0.39218333,0.139507569,0.201807178,-0.13055866,-0.166658059,0.09512197,-0.217196805,0.406777304,0.212363128,-0.21747464,0.303184505,0.079259709,-0.005790111,0.239833588,0.280221403,0.317295027,0.286627846,0.147373228,5.90E-05,0.254613306,0.178766593,0.351975532,0.472418937
0.490218974,-0.112451519,0.163417497,0.154669864,0.423436274,0.410546032,0.165882429,-0.178410558,-0.247507462,-0.098110971,0.068443885,0.057059657,0.206932166,0.257121225,-0.06137896,0.429988457,-0.112451519,0.433638257,0.270790868,0.284737744,0.231595641,0.294502228,0.139944567,0.143512442,0.227837996,0.233061424,0.224157835,0.477129944
0.118393937,-0.477249868,0.175760603,0.037580312,0.145735261,0.374878675,0.266470549,0.469603638,-0.247507462,-0.023967614,-0.023922183,0.059198,0.170553277,0.253681413,0.187519655,0.487101514,-0.216145417,0.42754306,0.241389656,0.319075945,0.058885369,0.318602095,0.243934541,0.169449379,0.220297836,0.319495419,0.193293741,0.450072548
0.197912889,-0.40878878,0.234292236,0.104613176,0.143563383,0.305503035,0.259869349,0.131362172,0,-0.154037873,-0.341344746,-0.039827837,0.046115738,0.263306429,-0.067739951,0.389900596,-0.191462461,0.1653013,0.213290603,0.287112979,0.343241137,0.277152619,0.163364654,-0.055989702,0.210984925,0.295630471,0.047758426,0.346844848
0.097101649,-0.433192799,0.293974242,0.232371107,0.166288511,0.212565523,0.19620392,-0.250376709,0.247507462,-0.043541364,-0.358605258,0.020987272,0.00578157,0.268290836,-0.06960716,0.312505266,-0.117911422,0.165372376,0.197118725,0.265885854,0.266200136,0.249486663,0.431065192,-0.26034053,0.163387877,0.218374964,0.029343475,0.277741052
0.043257668,-0.262474738,0.236472028,0.336736193,0.235531533,0.222345597,0.091786471,-0.441157478,0,0.23788844,-0.198200088,-0.037273538,0.085266268,0.253244388,0.000915938,0.181675181,0.141935216,0.196395011,0.28148776,0.200097883,0.064023514,0.187018281,0.463550264,0.149531774,0.090072758,0.110116766,0.137723708,0.226891601
-0.010081824,-0.207279533,0.257965195,0.396733779,0.288643725,0.139186936,0.020987272,-0.200805129,0,0.431334146,-0.213499183,-0.219085918,0.261492307,0.262130073,-0.169541871,0.116322806,0.433192799,0.086783545,0.246007306,0.177424127,0.048896924,0.168461606,0.221558297,-0.076548819,0.010071205,0.038454064,0.18866277,0.25058175
-0.12279117,-0.175281858,0.229947465,0.410165058,0.432158749,0.158226793,0.049738225,-0.300582187,0.247507462,0.33260038,-0.121850627,-0.045889,0.243689469,0.278968171,-0.059810428,0.092273786,0.024917669,0.115242329,0.20561076,0.161464275,0.10884258,0.160476885,0.265773985,0.128704948,-0.0663785,0.061281088,0.208598757,0.245473094
-0.101728211,-0.036217587,0.217352389,0.209359708,0.227236925,0.163708094,-0.16153888,-0.277776649,0,0.340744572,-0.119849196,-0.024917669,0.178249689,0.258470577,0.353771577,0.046027063,-0.024917669,0.005874398,0.168182368,0.120369592,-0.160399241,0.12891008,0.013717533,0.096419725,-0.204729099,-0.137456818,0.113280238,0.245849145
-0.115387063,0,0.19379465,0.082433078,0.087929552,0.302710559,-0.066183833,-0.242772772,0.247507462,0.22817103,0.018693573,-0.121317591,0.236168977,0.272762929,-0.26233336,0.028076257,0.341344746,0.2973007,0.17700625,0.130790729,-0.142325748,0.148152833,0.210441073,-0.120299197,-0.288096644,-0.06852101,0.243141596,0.247208354
-0.399012092,-0.40878878,0.231552445,-0.040681406,-0.035303114,0.16762496,-0.112451519,-0.162406238,0,0.142778793,0.02544712,-0.013636396,0.076513646,0.220420896,-0.021188626,0.283286592,-0.107468566,-0.243227795,0.163669093,0.193435624,0.311260908,0.2152154,0.172398357,-0.2221272,-0.346371996,-0.094150144,-0.045679984,0.204605922
-0.421006311,-0.477249868,0.169331621,-0.042742211,-0.045929864,0.102414474,-0.112451519,-0.297471196,0.247507462,0.045288213,-0.028471665,0.341344746,-0.188195086,0.193056524,-0.124948495,0.496797307,-0.036217587,-0.423819616,0.249778096,0.214766632,-0.016617368,0.220683023,0.031533738,-0.269152693,-0.313044623,-0.089618023,-0.289401938,0.17893862
-0.428243616,-0.341344746,0.157927561,-0.158145606,-0.185940121,0.046691499,0.033206752,-0.194046401,0.341344746,0.08970102,-0.416914948,0.288528096,-0.015107837,0.156400144,-0.241461565,0.499883843,-0.107468566,-0.46096439,0.375625106,0.25920368,0.174008563,0.239984594,0.027063947,-0.17281077,-0.222970573,0.049524943,-0.079259709,0.157965052
0.434335913,-0.262474738,0.219055195,-0.163568589,-0.174770633,0.391022813,-0.053035117,-0.097419538,0.394350226,0.249516132,-0.207279533,0.272873766,0.036217587,0.178353945,0.122439563,0.450455975,-0.175281858,-0.000901903,0.449606953,0.315943987,0.227820948,0.278212421,-0.008185066,-0.12778979,-0.112474744,-0.031915802,0.097009488,0.137171839
-0.288141045,0,0.245366539,-0.119323182,-0.104735985,0.262670409,-0.053035117,-0.33061208,0.341344746,0.302641678,-0.465481826,0.299545807,-0.175281858,0.189934706,-0.021813797,0.323847892,-0.107468566,-0.387882696,0.312434052,0.333692011,0.042056067,0.292562892,0.192479255,0.138915603,-0.064693376,-0.015123555,0.058174082,0.153274259
-0.017224603,-0.112451519,0.312325694,-0.09640303,-0.121234574,0.486794712,0.204870774,-0.199498671,0.112451519,0.296276599,-0.389188199,0.13229242,0.153187107,0.218478493,0.168596811,0.261426133,-0.107468566,0.002987242,0.236608019,0.35856422,0.082675231,0.334444697,0.098344235,-0.186638737,-0.017358316,0.277315382,0.395815788,0.169249169
-0.034619621,-0.273372648,0.312195986,-0.099870549,-0.074070493,0.456371885,0.341344746,-0.136069759,0,0.296817817,0.117911422,0.00137566,0.338007376,0.250225485,-0.270393935,0.200412272,-0.072137292,-0.001096238,0.173112864,0.313699139,0.20776492,0.307836229,0.432012718,0.013264928,0.08306101,0.415742968,0.437802561,0.168001206
