DATE,births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,INTDSRUSM193N,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV,GS10,PSAVERT,CIVPART,BAA10YM,MPRIME,AAA10YM,PAYEMS,EMRATIO,USCONS,T10YIEM,WPU0911,CUUR0000SA0R,WPU101,WPSFD49207,CSUSHPISA,RSXFS,MRTSSM7221USN,CES7072200001,JTS540099JOL,TSITTL,H8B1247NCBCMG,SAHMREALTIME,RRSFS,TOTBUSMPCSMSA,H8B1026NCBCMG,H8B1020NCBCMG,H8B1023NSMCMG
7/1/04,158532,5.5,8218.9,5.82,6.62,96.3385,5.2,2002,66.1,1.2266,2.12,96.7,2.25,147.4,878.1274,17.309,10654.4,3,78.1759,4976.0292,10054.1,186835,9002.1,3814,87.54419,1006184,469.4,148.2,1207045,4.5,5.2,66.1,2.12,4.25,1.32,131848,62.5,6977,2.48,136.2,52.8,166,148.2,151.335,287358,14680,8857.4,686,109.3,7.8,-0.03,168455,0.4,-0.3,5.8,11.7
8/1/04,193143,5.4,8253.1,5.65,6.46,96.4095,5.1,2024,66,1.2191,2.18,95.9,2.5,148,883.0413,17.157,10685.4,2.8,78.2314,4994.5106,10098.6,183728,9033.3,3541,85.92587,1013616,464.2,148.6,1217193,4.28,5.1,66,2.18,4.43,1.37,131937,62.4,7003,2.42,137.3,52.8,174.2,148.6,152.631,287941,14264,8850.9,642,108.6,1.5,-0.07,168592,1.1,9.6,6.2,9.2
9/1/04,192003,5.4,8321.1,5.46,6.27,96.4907,4.6,1905,65.8,1.2224,2.14,94.2,2.75,147.7,886.8305,17.875,10690.7,2.8,78.2864,5031.8585,10131.5,188444,9055.7,3821,100.01189,1012080,416.1,148.8,1217197,4.13,4.6,65.8,2.14,4.58,1.33,132093,62.3,7029,2.33,137.9,52.7,174,148.8,154.177,293139,13386,8897.6,679,109,1.5,-0.07,171006,0.8,12.5,9.2,11
10/1/04,191852,5.5,8374.6,5.47,6.21,97.4094,4.5,2072,65.9,1.2507,2.11,91.7,2.75,150,889.3048,17.514,10697.8,3.1,79.0107,5052.4034,10184.1,185187,9100.5,3943,105.69511,1015719,405.4,151.2,1225082,4.1,4.5,65.9,2.11,4.75,1.37,132447,62.3,7077,2.37,136.6,52.4,178.9,151.2,155.75,295115,14054,8929.8,777,110.1,-2.4,0,171247,1.5,18.4,10.7,17.3
11/1/04,212069,5.4,8420.6,5.52,6.2,97.6137,4,1782,66,1.2997,2.01,92.8,3,151.4,897.6515,17.362,10670.2,2.8,79.1443,5133.4587,10202,192545,9111.8,3472,95.24085,1022994,367.1,152.1,1238758,4.19,4,66,2.01,4.93,1.33,132503,62.5,7091,2.51,135.4,52.4,182.4,152.1,157.527,296177,13133,8947.8,673,110.3,16,0,171015,0.7,15.1,13.7,7.6
12/1/04,190954,5.4,8481.5,5.47,6.15,98.3318,6.8,2042,65.9,1.3406,1.92,97.1,3.25,150.2,906.4346,18.102,11066.6,3,79.6835,5182.9889,10556.1,193578,9455.1,4074,77.59644,1037480,645.2,151.4,1241744,4.23,6.8,65.9,1.92,5.15,1.24,132624,62.4,7117,2.56,134.2,52.5,180.6,151.4,159.33,299763,14479,8970.2,881,110.4,11.8,0,173122,1.2,15.2,12.3,8.9
1/1/05,201492,5.3,8470.2,5.36,6.02,98.7845,3.6,2144,65.8,1.3123,1.8,95.5,3.25,150.9,921.4483,16.889,10669.3,2.9,79.9972,5192.1641,10292.1,194875,9127.3,3804,73.91848,1046082,327,151.9,1252532,4.22,3.6,65.8,1.8,5.25,1.14,132774,62.4,7095,2.5,134.9,52.4,181.2,151.9,161.288,296696,13373,8998.7,732,112.4,6.1,-0.1,171553,0.6,16.4,13.3,8
2/1/05,204751,5.4,8529.2,5.2,5.82,99.4639,3.2,2207,65.9,1.3013,1.65,94.1,3.5,151.6,931.8511,16.886,10673.7,2.9,80.4794,5208.5589,10329.4,196475,9156.1,3965,58.95005,1066848,294.5,152.7,1261260,4.17,3.2,65.9,1.65,5.49,1.03,133032,62.4,7153,2.54,136.4,52.1,179.8,152.7,163.343,300557,13443,9027.2,750,111.9,2.3,0,173090,0.5,6.9,6.6,8.8
3/1/05,201687,5.2,8569.5,5.4,6.06,99.3061,3.4,1864,65.9,1.3185,1.56,92.6,3.75,153.7,945.8355,17.413,10711.7,3.2,80.2733,5257.1238,10393.9,186608,9215.2,4044,57.55796,1071745,312.2,153.7,1269206,4.5,3.4,65.9,1.56,5.58,0.9,133156,62.4,7181,2.71,138.3,51.7,176.4,153.7,165.81,301308,14562,9051.8,736,111.4,3.6,-0.07,172750,0,14.4,11.8,15.3
4/1/05,204004,5.2,8645.6,5.33,6.05,99.4734,3,2061,66.1,1.2943,1.71,87.7,3.75,155,958.5624,17.756,10745.8,3.3,80.3227,5322.6123,10457.5,194847,9269,4159,74.56597,1081012,280.1,154.2,1274858,4.34,3,66.1,1.71,5.75,0.99,133518,62.7,7266,2.63,140,51.4,176.9,154.2,167.501,303760,14573,9101.4,714,112,-3.4,0,173765,1.6,23.6,15.5,22.4
