DATE,births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
7/1/04,-0.353875097,0.183030658,-0.206641613,0.303154037,0.204509496,-0.222887904,0.269771711,-0.065829356,0,-0.000988529,0.287360805,0.136280484,-0.135568599,-0.165834227,0.020570627,-0.084410919,-0.066183833,-0.331723595,-0.17741251,-0.150716849,-0.157975161,-0.13862053,-0.155904736,0.218134697,-0.158337449,0.180664505,-0.168893584,-0.196125718
8/1/04,-0.114747476,0.148380708,-0.195078467,0.198331535,0.125412693,-0.218475592,0.255052611,-0.034460151,-0.155421742,-0.022159898,0.331336333,0.116544154,-0.126057183,-0.158451555,-0.025744904,-0.068775588,-0.191462461,-0.325289173,-0.169829577,-0.138466575,-0.183978058,-0.128371793,-0.266354327,0.191673618,-0.147809506,0.172685318,-0.158934276,-0.168990322
9/1/04,-0.124300702,0.148380708,-0.171508347,0.058457205,0.024409787,-0.213388225,0.174502717,-0.196833651,-0.38493033,-0.012848662,0.302712896,0.073647341,-0.130822903,-0.152716767,0.185857504,-0.066090915,-0.191462461,-0.318760738,-0.154293664,-0.129316635,-0.144198599,-0.120956709,-0.152826826,0.378654216,-0.149994987,0.095543538,-0.153912236,-0.168979436
10/1/04,-0.125560532,0.183030658,-0.152465713,0.066183833,-0.008141114,-0.153026023,0.157173733,0.034460151,-0.288144601,0.066764056,0.279430206,0.009095616,-0.0938248,-0.148952962,0.082484569,-0.062489704,0,-0.219260186,-0.145633214,-0.114536709,-0.171870751,-0.105994794,-0.097726088,0.424736666,-0.144809353,0.077738725,-0.091762803,-0.147254291
11/1/04,0.049611943,0.148380708,-0.13577689,0.104381977,-0.013566849,-0.138982887,0.066183833,-0.331109411,-0.155421742,0.19673895,0.191462461,0.037629131,-0.070862885,-0.136150051,0.036686805,-0.076457009,-0.191462461,-0.198389452,-0.110764505,-0.109467634,-0.108261308,-0.102195107,-0.290795073,0.32693836,-0.134362424,0.012952056,-0.067749906,-0.108448153
12/1/04,-0.13302468,0.148380708,-0.113285038,0.066183833,-0.040637861,-0.088236868,0.433192799,-0.008625107,-0.288144601,0.28947524,0.101316723,0.146018348,-0.090562276,-0.122511887,0.244609869,0.124677697,-0.066183833,-0.107997044,-0.088988619,-0.006457815,-0.099047472,0.016185831,-0.036346808,0.042121502,-0.11326801,0.388896274,-0.086452967,-0.09981414
1/1/05,-0.043012486,0.112451519,-0.117489837,-0.019548165,-0.109843653,-0.055408219,-0.009497728,0.135308331,-0.38493033,0.227160543,-0.026935063,0.106557694,-0.079095399,-0.098850177,-0.106186146,-0.07691095,-0.13055866,-0.052181043,-0.084922284,-0.08368575,-0.087401004,-0.096967407,-0.160283848,-0.027329123,-0.100576996,-0.055219301,-0.073111077,-0.068241803
2/1/05,-0.014488007,0.148380708,-0.095394147,-0.141602346,-0.209190158,-0.005489638,-0.084837871,0.216668503,-0.288144601,0.200685006,-0.181883769,0.071091254,-0.067561018,-0.082234113,-0.107067934,-0.074690723,-0.13055866,0.035271257,-0.077633886,-0.072899214,-0.07292809,-0.087208515,-0.087542695,-0.281736174,-0.069523629,-0.109385746,-0.051595273,-0.042365154
3/1/05,-0.041310496,0.075532001,-0.080120084,0.011731905,-0.088811897,-0.017120446,-0.047381185,-0.246354917,-0.288144601,0.241553313,-0.263071074,0.032451286,-0.032649914,-0.05966917,0.052138493,-0.055424709,0.066183833,-0.002144841,-0.055896978,-0.0541222,-0.159902466,-0.067019231,-0.050534756,-0.30068096,-0.062129957,-0.080078213,-0.024492992,-0.018646771
4/1/05,-0.021038017,0.075532001,-0.050964198,-0.042939938,-0.094096386,-0.004789183,-0.121538448,0.018682354,0,0.183252769,-0.122027775,-0.09397608,-0.010894128,-0.038961448,0.152913494,-0.038022406,0.13055866,0.006834106,-0.02632904,-0.035487345,-0.087653286,-0.048485656,0.004044068,-0.015102821,-0.048080843,-0.132786944,-0.010891269,-0.001730614
