DATE,births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
7/1/04,-0.371256578,0.169125612,-0.186483895,0.301071449,0.303937281,-0.278087379,0.241203063,-0.112451519,0.098706326,0.003746981,0.268322425,0.110592719,-0.121234574,-0.16530508,-0.020847625,-0.132110424,-0.044235881,-0.292342204,-0.19946223,-0.189118065,-0.096406785,-0.162723006,-0.11593988,0.162312129,-0.134625119,0.213177176,-0.159666217,-0.272404655
8/1/04,-0.109295805,0.122669718,-0.172520947,0.204146371,0.208180457,-0.272748605,0.228354242,-0.072471439,0,-0.013814435,0.314160654,0.091529615,-0.110981928,-0.156319588,-0.061003191,-0.104055163,-0.210742639,-0.285975242,-0.189616141,-0.172608631,-0.129238165,-0.147957175,-0.229639723,0.141748525,-0.122688938,0.205938,-0.149018318,-0.236012376
9/1/04,-0.120061121,0.122669718,-0.144046015,0.075701591,0.072480274,-0.266555089,0.159744054,-0.270364213,-0.191462461,-0.006088698,0.284261489,0.050349026,-0.116118411,-0.149329557,0.127286594,-0.099199622,-0.210742639,-0.279554953,-0.169304499,-0.160179531,-0.079117197,-0.137215153,-0.112832514,0.301635486,-0.125165895,0.135354146,-0.143649519,-0.235997469
10/1/04,-0.121480302,0.169125612,-0.121053815,0.082811364,0.026831623,-0.19039243,0.145257939,0.01681226,-0.098706326,0.059959236,0.260113176,-0.011080305,-0.076283101,-0.144737537,0.033570803,-0.092671063,0.044235881,-0.185467077,-0.157909733,-0.139946261,-0.113921951,-0.115411818,-0.057682368,0.351500908,-0.119289453,0.118895317,-0.07728233,-0.205802517
11/1/04,0.075335467,0.122669718,-0.100932772,0.117911422,0.019172531,-0.172087765,0.070037873,-0.405939701,0,0.169491309,0.170031446,0.016002649,-0.051619437,-0.12909485,-0.006774918,-0.117888788,-0.210742639,-0.166396402,-0.111626357,-0.132966909,-0.034431325,-0.109851033,-0.255473744,0.252831649,-0.107459806,0.058402953,-0.051702506,-0.149975306
12/1/04,-0.129885788,0.122669718,-0.073884813,0.082811364,-0.019172531,-0.104668019,0.3987586,-0.039177042,-0.098706326,0.25130524,0.079259709,0.120028468,-0.07277564,-0.112401175,0.18291204,0.239260829,-0.044235881,-0.085446069,-0.08249253,0.011208028,-0.023083704,0.064443059,0.00277845,0.030582028,-0.083616854,0.399230547,-0.071622098,-0.137285608
1/1/05,-0.028408481,0.074365688,-0.078933962,0.003626698,-0.117177773,-0.060337403,0.007821896,0.147801271,-0.191462461,0.195840455,-0.047758426,0.081913115,-0.060455937,-0.08339445,-0.130055873,-0.118703375,-0.13055866,-0.036358155,-0.077040368,-0.097209461,-0.008810576,-0.102186916,-0.120366029,-0.019831974,-0.069305412,-0.006404204,-0.057409402,-0.090265106
2/1/05,0.003680263,0.122669718,-0.052447024,-0.110958536,-0.252599354,0.007459331,-0.054585342,0.249994699,-0.098706326,0.172887814,-0.198468212,0.047905119,-0.048077401,-0.063015865,-0.130809969,-0.114716015,-0.13055866,0.039922424,-0.067261945,-0.082145589,0.008810576,-0.087843408,-0.047583714,-0.213763846,-0.034415281,-0.058884104,-0.034522198,-0.051212666
3/1/05,-0.026491583,0.024917669,-0.034212187,0.032604351,-0.087513678,-0.008340312,-0.023453666,-0.324353522,-0.098706326,0.208452657,-0.276372708,0.011080305,-0.010708574,-0.035365202,0.006774918,-0.079816605,0.13055866,0.007335181,-0.038076299,-0.055822654,-0.098831755,-0.058059646,-0.011112451,-0.229823906,-0.026138627,-0.030371609,-0.005760699,-0.015211764
4/1/05,-0.003680263,0.024917669,0.000386925,-0.018127498,-0.094983948,0.008410388,-0.08538385,-0.00373711,0.098706326,0.157926049,-0.140576433,-0.108223314,0.012492794,-0.010047998,0.09693486,-0.047946471,0.210742639,0.015158692,0.001577624,-0.029623001,-0.009118893,-0.030653698,0.042061927,-0.010956867,-0.010448018,-0.081864375,0.008640673,0.010488835
5/1/05,-0.008596591,-0.024917669,-0.000386925,-0.145324282,-0.124494929,0.021407755,-0.007821896,-0.070632994,0.098706326,0.103493826,0.026576464,-0.127059023,0,0.010047998,0.007040574,-0.001562619,0.13055866,0.016852593,-0.001577624,-0.007272306,0.118771388,-0.006587644,-0.123455014,-0.066313193,0.010448018,-0.009646313,0,0.017152175
6/1/05,0.053174122,-0.074365688,0.036388612,-0.263677406,-0.227665998,0.059446398,-0.115665997,0.009342057,0.098706326,-0.022236502,0.015953437,0.093925392,0,0.022839327,0.266980123,0.020778213,0.13055866,0.049510272,0.036070983,0.007272306,0.153962598,0.006587644,-0.00277845,-0.011020491,0.031697298,-0.104568452,0,0.01541173
7/1/05,0.026108129,-0.074365688,0.083480503,-0.204146371,-0.167380841,0.027993666,-0.201740081,-0.01681226,0.098706326,-0.048823147,-0.079259709,0.105849889,0.035651945,0.051752939,0.493716992,0.02342586,-0.044235881,-0.007335181,0.037362505,0.029333714,-0.013214521,0.028148394,0.086372718,-0.090410547,0.053948537,-0.199605988,0.031651667,-0.010488835
8/1/05,0.013767657,-0.122669718,0.084771139,-0.185032444,-0.160365752,0.055304299,-0.145257939,0.0595715,0.191462461,0.010537314,-0.150498502,-0.074668128,0.058690901,0.06406356,0.008103165,0.036457652,0.044235881,0.010708999,0.079369234,0.053318508,0.099866821,0.05343991,0.034225729,-0.146973611,0.070794039,-0.133061024,0.068786371,0.010820723
