DATE,births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
7/1/04,-0.443491767,0.276941576,-0.202236644,0.201892291,0.185940121,-0.274854711,0.390795407,0.041190378,0,-0.09855504,0.353435466,0.189202027,-0.244730934,-0.164053293,0.088239733,-0.163707116,-0.066183833,-0.468143346,-0.16919229,-0.192989192,-0.175727857,-0.183437176,-0.191235676,0.188108109,-0.332230177,0.242643,-0.275085556,-0.179293278
8/1/04,-0.231593824,0.247507462,-0.195107767,0.108771821,0.092653067,-0.271513087,0.375718376,0.048866984,-0.155421742,-0.113606915,0.385923094,0.170866717,-0.236959589,-0.159950688,0.049302606,-0.154588416,-0.191462461,-0.464859036,-0.165085865,-0.186169911,-0.193456476,-0.177429612,-0.268462036,0.166704565,-0.31872055,0.231468229,-0.267195385,-0.165822875
9/1/04,-0.241990964,0.247507462,-0.180713262,-0.002977154,-0.024917669,-0.267657475,0.279121836,0.007198832,-0.38493033,-0.10700367,0.364891747,0.13055866,-0.240860322,-0.156774077,0.223111385,-0.153020209,-0.191462461,-0.461335218,-0.156727363,-0.181086856,-0.166384397,-0.173087621,-0.189115505,0.328981201,-0.321567076,0.118062159,-0.263193348,-0.165817522
10/1/04,-0.243352293,0.276941576,-0.16919204,0.002977154,-0.062082017,-0.22161142,0.25562794,0.065548795,-0.288144601,-0.049299407,0.347469589,0.068704518,-0.210210577,-0.154693778,0.139341931,-0.150915294,0,-0.383169894,-0.152096165,-0.172889251,-0.185184374,-0.164333464,-0.15120612,0.376908949,-0.31477742,0.090918282,-0.212349147,-0.155200306
11/1/04,-0.03537529,0.247507462,-0.15915562,0.032712249,-0.068232099,-0.210798717,0.120841763,-0.03594733,-0.155421742,0.052395623,0.279121836,0.096225714,-0.190757979,-0.147641962,0.101634736,-0.159071138,-0.191462461,-0.361005083,-0.133608411,-0.17008018,-0.142110165,-0.162110988,-0.286123972,0.280608794,-0.300730525,-0.008934719,-0.192035624,-0.136496684
12/1/04,-0.251370221,0.247507462,-0.145694071,0.002977154,-0.098706326,-0.171311814,0.493082872,0.055134409,-0.288144601,0.134979286,0.204870774,0.198200088,-0.207467031,-0.140166286,0.270391547,-0.036649196,-0.066183833,-0.244243816,-0.12215329,-0.112718701,-0.135899249,-0.092227447,-0.108758285,0.049242134,-0.270917866,0.46482247,-0.207890072,-0.132367452
1/1/05,-0.149638056,0.216145417,-0.148206268,-0.062265826,-0.174770633,-0.145357976,0,0.09034522,-0.38493033,0.07825992,0.091252957,0.16153888,-0.197770865,-0.127263859,-0.020283068,-0.159335867,-0.13055866,-0.158094828,-0.120019102,-0.155797369,-0.128050377,-0.159053256,-0.194253455,-0.004727401,-0.252092692,-0.112775861,-0.196603979,-0.117324375
2/1/05,-0.115344741,0.247507462,-0.135020623,-0.153771299,-0.278050268,-0.105143104,-0.120841763,0.111752984,-0.288144601,0.055694734,-0.061134479,0.128136967,-0.187933051,-0.118238422,-0.021062475,-0.158040893,-0.13055866,-0.009649738,-0.11619653,-0.149817365,-0.118294396,-0.153344092,-0.144191977,-0.213520061,-0.203451654,-0.19169435,-0.178153195,-0.105021703
3/1/05,-0.147616922,0.183030658,-0.125920355,-0.038642729,-0.151962778,-0.114601951,-0.061134479,-0.007198832,-0.288144601,0.090871016,-0.149738803,0.091252957,-0.1576287,-0.106004436,0.114412371,-0.146780986,0.066183833,-0.074532093,-0.104808062,-0.139389177,-0.177037356,-0.141519971,-0.118615378,-0.230729406,-0.191374763,-0.149532259,-0.154461581,-0.093729157
4/1/05,-0.12329659,0.183030658,-0.108547002,-0.079843268,-0.15772054,-0.104571611,-0.177793833,0.061735072,0,0.041235658,0,-0.033206752,-0.138330558,-0.094778535,0.196552017,-0.136565771,0.13055866,-0.05909663,-0.08930986,-0.12900394,-0.128220397,-0.130636595,-0.080468225,0.004795641,-0.167953362,-0.224252174,-0.142377429,-0.085648432
