DATE,deathrate,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V,births,aaa,baa,tr10 ,caputz index,GPDI,NFB R output ph,OUTMS,IMPGSC,EXPGSC,GDPIC,real GPDI fixed equip,chng real priv inventories,RGDP,IP index,NROU,CAPUTL,LLBAC,population
7/1/92,-0.16153888,0.224522695,0.212260281,0.239120141,0.238146121,0,0.085161669,0.104985205,0.105887794,-0.452358005,-0.29302883,0.122406823,-0.249009092,-0.200752848,-0.123598908,-0.36531862,0,-0.086621448,-0.287859651,-0.306584709,0.197368337,-0.452358005,-0.288144601,-0.203180481
10/1/92,0,0,0.092248712,0.162554864,0.084524933,-0.117911422,0.099829951,0.160636613,0.144189849,-0.147546286,-0.13839707,0.351395075,-0.1471322,-0.099936274,-0.039130017,-0.18318074,0.154476976,0,-0.04438295,-0.154323264,0.100356028,-0.147546286,0,-0.097145391
1/1/93,0.247507462,-0.158457454,0,0,0,0.208840313,0,0,0,0.254753359,0,0,0,0,0,0.009329658,-0.040845533,0.392378198,0,0,0,0.254753359,-0.053035117,0
4/1/93,0.033206752,0.058350713,-0.10513709,-0.032101708,-0.112758857,-0.059617692,-0.112133386,-0.092401852,-0.091491356,0.048271571,0.057969241,-0.261250892,0.048713057,0.097475399,0.198056194,0.058939098,0.18693443,0.110697503,0.151183614,0.041010987,-0.097054862,0.048271571,0.143066163,0.100265687
7/1/93,-0.320341331,-0.138034872,-0.203098571,-0.175904266,-0.230778289,0.136830651,-0.268086015,-0.25562794,-0.201685827,0,0.065379226,-0.074636882,0.076901737,0.158146515,0.156068856,0,-0.118400287,-0.442351933,0.260768701,0.110578284,-0.185395831,0,0.356938808,0.205632953
10/1/93,-0.16153888,-0.192615071,-0.317708452,-0.241954108,-0.265687813,-0.039827837,-0.281173564,-0.274706831,-0.20444702,0.497037426,0.328702695,0.1104311,0.278304133,0.316927961,0.464876098,0.372745101,0.323681667,-0.226161394,0.447994969,0.334260271,-0.261526789,0.497037426,0.278360136,0.290901881
1/1/94,0.16153888,-0.394716238,-0.277119178,-0.290306421,-0.127107035,0.059617692,-0.058365081,-0.074575074,0.023041628,0.498960508,0.499995863,0.253340461,0.495789525,0.379723901,0.462765803,0.5,-0.081808307,0.345550676,0.409952441,0.494843272,-0.260971758,0.498960508,0.228636905,0.26533883
4/1/94,0.039827837,-0.494446294,-0.235720856,-0.28251629,0.069875159,0.229436988,0.27823139,0.266021284,0.387781635,0.39136545,0.425242849,0.283900151,0.410219066,0.336103139,0.37722728,0.412380533,-0.195278803,0.380524741,0.345268395,0.387824246,-0.260472115,0.39136545,0.247507462,0.24855814
7/1/94,-0.098706326,-0.171430005,-0.193605919,-0.407167849,0.203098571,0.312968601,0.338181864,0.331796894,0.432228068,0.237806002,0.179358368,-0.054791976,0.307168318,0.269448497,0.35974256,0.169180914,-0.016212701,0.158679594,0.237303606,0.288913083,-0.260191542,0.237806002,0.440914877,0.275230826
10/1/94,0.369705483,-0.165577098,-0.180547653,-0.325637356,0.397362748,0.018127498,0.248349147,0.257608397,0.226881712,0.28100081,0.20434357,0.311753093,0.319557697,0.289086504,0.368253,0.206073564,0.362484373,0.140494294,0.249393136,0.30643803,-0.260189998,0.28100081,0.410219066,0.29507805
