DATE,deathrate,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V,births,aaa,baa,tr10 ,caputz index,GPDI,NFB R output ph,OUTMS,IMPGSC,EXPGSC,GDPIC,real GPDI fixed equip,chng real priv inventories,RGDP,IP index,NROU,CAPUTL,LLBAC,population
7/1/92,-0.120028468,0.179842507,0.201824483,0.191594823,0.308401287,-0.067578594,0.035266011,0.045686096,0.033904467,-0.103655736,-0.128715207,0.004470585,-0.132763112,-0.15237106,-0.088546379,-0.133012432,-0.044757194,-0.084492955,-0.133018562,-0.13545432,0.206078597,-0.103655736,-0.215342551,-0.198908565
10/1/92,-0.011080305,0.080204083,0.153387673,0.158230776,0.189028724,-0.164775519,0.046138654,0.082714559,0.059268719,-0.064669272,-0.08620994,0.203083363,-0.099731434,-0.118344863,-0.075747457,-0.086204365,0.100421351,-0.065802344,-0.087462294,-0.093892123,0.160638314,-0.064669272,-0.119385544,-0.154400982
1/1/93,0.16153888,0.008417104,0.1171221,0.091645937,0.118820302,0.1170997,-0.026884052,-0.021756516,-0.033904467,-0.031870532,-0.052954345,-0.083791165,-0.05623912,-0.085988663,-0.069917825,-0.04799818,-0.08203435,0.041581761,-0.079944988,-0.057790631,0.114279197,-0.031870532,-0.136104803,-0.114532976
4/1/93,0.011080305,0.105499342,0.07439948,0.078480438,0.018513882,-0.1170997,-0.107947162,-0.080510055,-0.091605356,-0.049358698,-0.039139331,-0.26398579,-0.041965725,-0.053871483,-0.038907884,-0.038370646,0.132046369,-0.041581761,-0.05353568,-0.048334687,0.067859654,-0.049358698,-0.072334371,-0.072050386
7/1/93,-0.238552392,0.018164402,0.030784238,0.016145192,-0.097614344,0.050790808,-0.22525508,-0.189638513,-0.162898812,-0.053080555,-0.037354495,-0.135357871,-0.033594933,-0.032769088,-0.045932226,-0.049798138,-0.151928602,-0.194607044,-0.031580775,-0.031942813,0.022153884,-0.053080555,0.019828738,-0.023117757
10/1/93,-0.120028468,-0.008417104,-0.030784238,-0.016145192,-0.134969322,-0.100761694,-0.235697519,-0.203445726,-0.164742859,0.031870532,0.037354495,-0.004470585,0.033594933,0.032769088,0.038907884,0.038370646,0.272034017,-0.116669924,0.031580775,0.031942813,-0.022153884,0.031870532,-0.019828738,0.023117757
1/1/94,0.098706326,-0.158535363,-0.059209579,-0.044166466,-0.121686126,-0.050790808,-0.166375351,-0.143849536,-0.076490496,0.08130377,0.09972937,0.097622665,0.077561739,0.071988401,0.065366974,0.104615323,0.011801304,0.089283352,0.076848242,0.08438278,-0.064506739,0.08130377,0.050558224,0.061921711
4/1/94,0.055231024,-0.124520408,-0.101237577,-0.130019303,-0.048434227,0.133231953,0.026884052,0.021756516,0.125886186,0.164020652,0.177160962,0.123405188,0.164536804,0.134501357,0.154380635,0.188572327,-0.200773757,0.299662846,0.138868182,0.159013433,-0.104520649,0.164020652,0.102440257,0.103737559
7/1/94,-0.077086054,-0.134304984,-0.120276439,-0.1704972,-0.018513882,0.209933853,0.083458102,0.076093526,0.172687461,0.191180143,0.16150236,-0.069337162,0.215682077,0.181144185,0.246576364,0.160151375,-0.011801304,0.126576337,0.164977767,0.209165725,-0.141969496,0.191180143,0.226482802,0.148531954
10/1/94,0.28975042,-0.223404749,-0.124469773,-0.244442087,0.090802987,0.067578594,0.177793833,0.155005915,0.258588435,0.269753153,0.225509249,0.268831257,0.293321129,0.226295977,0.297960074,0.228544399,0.312615018,0.249049766,0.214085125,0.283261249,-0.176743086,0.269753153,0.255093957,0.189290427
1/1/95,0.033206752,-0.212393271,-0.130732156,-0.27112778,0.158282097,0.14913223,0.10956581,0.084182789,0.199571204,0.270110263,0.246918354,0.287647756,0.319119729,0.260055714,0.336465033,0.245495707,0.236677613,0.182084859,0.228732407,0.316085737,-0.208832122,0.270110263,0.288464561,0.223301554
