Year,Period,Label,deathrate,percent change in gdp,percent change in commercial and industrial loans,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V
1992,Q03,7/1/92,154,6.1,-3.2,111.002,5.25,7.722782324,6.735
1992,Q04,10/1/92,159,7.1,-1.1,110.092,4.76,7.558866023,6.584
1993,Q01,1/1/93,167,2.9,-2.2,109.469,4.41,7.248028086,6.508
1993,Q02,4/1/93,160,4.8,-3.5,110.316,4.01,7.188332035,6.406
1993,Q03,7/1/93,148,4.4,-0.9,109.553,3.61,6.909896501,6.289
1993,Q04,10/1/93,154,7.9,-1.8,109.324,3.05,6.766792213,6.25
1994,Q01,1/1/94,164,5.9,4.4,107.993,2.79,6.642259721,6.264
1994,Q02,4/1/94,162,7.6,9.9,108.306,2.4,6.251687685,6.339
1994,Q03,7/1/94,156,4.7,10.9,108.217,2.22,6.058349837,6.369
1994,Q04,10/1/94,174,7,10.8,107.359,2.18,5.676887203,6.479
1995,Q01,1/1/95,161,3.6,15.6,107.471,2.12,5.525824118,6.55
1995,Q02,4/1/95,167,3.2,11.9,107.391,2.1,5.745052136,6.614
1995,Q03,7/1/95,168,5.5,10,107.646,2.07,5.716695634,6.714
1995,Q04,10/1/95,174,4.7,5.1,107.659,2.07,5.624056349,6.86
1996,Q01,1/1/96,173,5,7.2,107.818,2.06,5.609201496,7.016
1996,Q02,4/1/96,171,8.6,6.8,107.344,2.06,5.539475929,7.18
1996,Q03,7/1/96,174,5,7.3,107.395,2.01,5.333515819,7.369
1996,Q04,10/1/96,175,6.5,11.4,107.371,1.95,5.349826794,7.623
1997,Q01,1/1/97,180,5.1,8.7,108.202,1.9,5.297524346,7.761
1997,Q02,4/1/97,175,7.7,10.2,107.241,1.81,5.046185602,8.002
1997,Q03,7/1/97,173,6.9,7.9,107.045,1.72,4.911541108,8.102
1997,Q04,10/1/97,189,4.8,8.4,108.191,1.7,4.706006529,8.195
1998,Q01,1/1/98,186,4.7,10.6,109.31,1.81,4.721931294,8.238
1998,Q02,4/1/98,173,4.7,8.4,110.011,1.73,4.474598128,8.326
1998,Q03,7/1/98,185,6.9,12.7,109.977,1.77,4.572529407,8.469
1998,Q04,10/1/98,188,7.8,14.7,109.833,1.87,4.427564749,8.511
1999,Q01,1/1/99,194,5.4,0.4,110.086,1.97,4.34039574,8.584
1999,Q02,4/1/99,192,4.6,2.1,109.941,2,4.29061745,8.645
1999,Q03,7/1/99,194,6.8,9.4,109.595,2.06,4.271152097,8.816
1999,Q04,10/1/99,189,9.3,10.2,109.594,1.99,4.105619807,8.902
2000,Q01,1/1/00,196,4.2,9.2,113.185,2.11,4.08922536,8.989
2000,Q02,4/1/00,189,10.2,14,110.834,2.24,3.985153792,9.251
2000,Q03,7/1/00,209,2.8,8.4,112.335,2.33,4.056634084,9.372
2000,Q04,10/1/00,204,4.7,3.7,111.378,2.52,3.950719099,9.549
2001,Q01,1/1/01,214,1.3,4.4,113.863,2.65,4.294454399,9.501
2001,Q02,4/1/01,212,4.9,-4.1,111.97,2.94,4.491558156,9.458
2001,Q03,7/1/01,219,-0.1,-8.1,111.333,3.26,4.867656321,9.096
