Label,deathrate,percent change in gdp,percent change in commercial and industrial loans,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V,births,aaa,baa,tr10 ,CPI gr prev prd,rg priv dom invet chng precd perd,real dis per income cfpp,caputz index,deposits combanks,NFB R output ph pcpp,Manuf real output,real imports GS pcfpp,real exports GS pcfpp,net dom invest priv busin pcpp,real GPDI fixed equip,chng real priv inventories
7/1/92,0.00,6.1,-3.2,111.002,5.25,7.722782324,6.735,7.6,7.98,8.703333333,6.616666667,0.78683834,3.2,1.9,80.7853,-0.3,0,3.9,6.5,8.8,0.838385,9.4,27.256
10/1/92,0.03,7.1,-1.1,110.092,4.76,7.558866023,6.584,7.4,8.023333333,8.87,6.743333333,0.70972321,12.8,1.8,81.1595,2.2,0.006072223,4.3,9.9,2,0.118385489,15.6,31.266
1/1/93,0.05,2.9,-2.2,109.469,4.41,7.248028086,6.508,7.2,7.733333333,8.403333333,6.28,0.84566596,9.8,1.5,81.4695,-0.8,-0.008611361,5.3,9,0.9,0.107232367,7.8,53.972
4/1/93,-0.04,4.8,-3.5,110.316,4.01,7.188332035,6.406,7.1,7.406666667,8.14,5.99,0.76869322,2.3,1.2,81.3046,3.6,-0.005918888,3.5,8.5,4.9,-0.009819456,17,36.417
7/1/93,-0.08,4.4,-0.9,109.553,3.61,6.909896501,6.289,6.8,6.893333333,7.623333333,5.616666667,0.39297272,-2.7,0.3,81.2694,1.3,0.004376672,2.6,5.4,-1.1,-0.100403858,4.7,2.412
10/1/93,0.04,7.9,-1.8,109.324,3.05,6.766792213,6.25,6.6,6.843333333,7.553333333,5.606666667,0.69076675,22.7,2.8,82.068,0.5,0.003911062,3.4,17.1,13.5,0.206992939,23.9,20.25
1/1/94,0.06,5.9,4.4,107.993,2.79,6.642259721,6.264,6.6,7.16,7.846666667,6.066666667,0.64029271,16.1,2.7,82.5367,-0.3,0.003006227,3.4,9.6,4,0.158852692,11.8,64.167
4/1/94,-0.01,7.6,9.9,108.306,2.4,6.251687685,6.339,6.2,7.946666667,8.596666667,7.083333333,0.63621904,21.2,4.1,83.3533,-1.9,0.000779888,5.3,15.8,14.2,0.179783981,2.4,115.84
7/1/94,-0.04,4.7,10.9,108.217,2.22,6.058349837,6.369,6,8.173333333,8.84,7.333333333,0.88055995,-6.4,2.4,83.6367,1.2,-0.005668882,6.5,11.7,15.8,-0.077086373,10.8,72.329
10/1/94,0.12,7,10.8,107.359,2.18,5.676887203,6.479,5.6,8.57,9.206666667,7.836666667,0.47000895,17.5,5.9,84.5304,0.6,0.010603313,7.2,11.7,9.6,0.187834944,26.3,101.641
1/1/95,-0.07,3.6,15.6,107.471,2.12,5.525824118,6.55,5.5,8.28,8.876666667,7.483333333,0.82423702,4.3,3.5,84.5348,2,0.000729883,7,9.1,7.9,0.042748735,22,85
4/1/95,0.04,3.2,11.9,107.391,2.1,5.745052136,6.614,5.7,7.66,8.233333333,6.62,0.88378259,-8.1,1.1,83.9221,3.7,0.00484714,4.6,3.9,5.7,-0.086306269,-0.6,48.502
7/1/95,0.01,5.5,10,107.646,2.07,5.716695634,6.714,5.7,7.433333333,8.053333333,6.323333333,0.43802015,-2.4,3.7,83.7571,7.9,-0.000181458,3.7,1.4,18.5,-0.077286258,0.7,11.031
10/1/95,0.04,4.7,5.1,107.659,2.07,5.624056349,6.86,5.6,6.986666667,7.64,5.893333333,0.47972089,10.3,2.4,83.4625,3.1,0.005580847,2.2,5.2,5.8,0.05333658,11.8,17.74
1/1/96,-0.01,5,7.2,107.818,2.06,5.609201496,7.016,5.5,7.05,7.71,5.91,0.91145833,6.6,3.8,82.9378,5.4,0.00634701,1.5,13.7,4.9,0.000509248,10.4,2.39
4/1/96,-0.01,8.6,6.8,107.344,2.06,5.539475929,7.18,5.5,7.61,8.296666667,6.72,0.98924731,20.6,3.7,83.5735,4.8,0.009639815,3.8,9.3,6.7,0.130409357,12.2,34.803
7/1/96,0.02,5,7.3,107.395,2.01,5.333515819,7.369,5.3,7.59,8.293333333,6.78,0.53236797,19.4,3.3,83.4937,4.6,0.003641477,4.9,13.6,3.3,0.126988689,17,76.867
10/1/96,0.01,6.5,11.4,107.371,1.95,5.349826794,7.623,5.3,7.23,7.916666667,6.343333333,0.7201864,-0.5,2.1,83.4721,8.9,0.000825947,5.2,8.1,27.4,-0.016757719,5,44.803
1/1/97,0.03,5.1,8.7,108.202,1.9,5.297524346,7.761,5.2,7.426666667,8.07,6.563333333,0.67297581,8.3,3.9,83.8233,7.3,-0.002077899,7.1,18.2,7.8,0.069772736,8.1,37.241
4/1/97,-0.03,7.7,10.2,107.241,1.81,5.046185602,8.002,5,7.573333333,8.186666667,6.696666667,0.39690829,26.8,3.6,83.7094,6.8,0.014797094,6.2,14.1,17,0.126621391,13.9,144.615
7/1/97,-0.01,6.9,7.9,107.045,1.72,4.911541108,8.102,4.9,7.17,7.756666667,6.243333333,0.39533916,5.7,4.8,84.1827,10.3,0.008338427,6.7,15.6,9.6,0.028633803,23.2,96.051
10/1/97,0.09,4.8,8.4,108.191,1.7,4.706006529,8.195,4.7,6.876666667,7.436666667,5.906666667,0.39378238,6.1,6,84.6988,7.9,0.005051161,7.8,8.9,-0.6,-0.008431217,-0.9,103.78
1/1/98,-0.02,4.7,10.6,109.31,1.81,4.721931294,8.238,4.6,6.666666667,7.253333333,5.586666667,0.26837325,18.6,8.7,84.0025,7.4,0.005887336,6.8,15.9,1.9,0.095573893,22.6,156.204
4/1/98,-0.07,4.7,8.4,110.011,1.73,4.474598128,8.326,4.4,6.636666667,7.253333333,5.596666667,0.53530986,-2.4,5.6,82.974,6.5,0.005610198,5.4,9.5,-4.3,-0.103946265,12.2,56.467
7/1/98,0.07,6.9,12.7,109.977,1.77,4.572529407,8.469,4.5,6.49,7.126666667,5.203333333,0.38910506,10.7,4.1,82.172,4.2,0.01338652,3.7,5.5,-1.8,0.040525276,6.2,71.24
10/1/98,0.02,7.8,14.7,109.833,1.87,4.427564749,8.511,4.4,6.333333333,7.25,4.67,0.34679723,12.9,3.2,82.1199,7.9,0.0077325,3.2,13.6,15.6,0.064135077,19,83.486
1/1/99,0.03,5.4,0.4,110.086,1.97,4.34039574,8.584,4.3,6.42,7.403333333,4.983333333,0.38625737,11.4,3.7,81.9166,3.5,0.013275136,3.4,10.8,-0.5,0.081916725,12.3,118.042
4/1/99,-0.01,4.6,2.1,109.941,2,4.29061745,8.645,4.3,6.933333333,7.74,5.54,0.97205346,0.3,0.9,81.7053,2.2,0.002620243,4.4,11.8,3.9,-0.063548544,15,50.042
7/1/99,0.01,6.8,9.4,109.595,2.06,4.271152097,8.816,4.2,7.326666667,8.1,5.883333333,0.62174087,11.4,2.8,81.5134,2.7,0.009372648,4.4,15.6,12.2,0.040162293,14.3,62.396
10/1/99,-0.03,9.3,10.2,109.594,1.99,4.105619807,8.902,4.1,7.486666667,8.24,6.14,0.61789914,11.2,6.1,82.062,7.7,0.015290769,4.3,10,10.2,0.060656603,-2.6,119.213
1/1/00,0.04,4.2,9.2,113.185,2.11,4.08922536,8.989,4,7.713333333,8.33,6.48,0.99049128,-2.8,7.9,82.0312,7.7,-0.001014713,3.7,16.6,5.9,-0.077808113,19.3,21.381
4/1/00,-0.04,10.2,14,110.834,2.24,3.985153792,9.251,3.9,7.766666667,8.593333333,6.176666667,1.05923892,25.9,4.5,82.1862,7.9,0.019339232,3.6,13,11.9,0.209585123,15.6,123.586
7/1/00,0.11,2.8,8.4,112.335,2.33,4.056634084,9.372,4,7.606666667,8.32,5.893333333,0.79580745,-3.9,4.7,81.3034,8.8,0.000275341,2.7,14.7,10.1,-0.051131253,1.4,87.319
10/1/00,-0.02,4.7,3.7,111.378,2.52,3.950719099,9.549,3.9,7.403333333,8.213333333,5.566666667,0.53918737,0.8,1.4,80.3557,4.6,0.010407655,0.2,-0.1,-3.3,-0.010314277,-0.7,82.297
1/1/01,0.05,1.3,4.4,113.863,2.65,4.294454399,9.501,4.2,7.076666667,7.88,5.05,0.95767094,-16.9,3.7,78.5562,9.8,-0.004332935,-2.1,-6.2,-5.8,-0.235782885,-3,-45.577
4/1/01,-0.01,4.9,-4.1,111.97,2.94,4.491558156,9.458,4.4,7.223333333,8.036666667,5.27,1.04344527,0.6,-0.7,76.8863,9.3,0.016846906,-4.4,-11.7,-12.5,-0.072673809,-15.6,-2.722
7/1/01,0.03,-0.1,-8.1,111.333,3.26,4.867656321,9.096,4.8,7.109416633,7.948780903,4.98,0.13143072,-8.4,9.6,75.2413,9,0.005766052,-5.5,-7.7,-18.1,-0.126658575,-10,-46.692
10/1/01,-0.05,2.4,-10.3,110.728,3.48,5.591812428,9.086,5.5,6.922227273,7.92274641,4.77,-0.2812676,-18.4,-5,73.9597,7.1,0.01235779,-5.6,-5.5,-12.1,-0.31594705,-1.6,-117.863
1/1/02,-0.04,4.9,-7.9,108.936,3.69,5.801610465,9.055,5.7,6.621862573,7.955350043,5.076666667,0.35727717,12.3,9.3,74.1121,8.2,0.021569787,-2.9,12.3,9.1,0.171864259,-9,-7.804
4/1/02,-0.02,3.9,-9,109.215,3.92,5.915815504,9.155,5.8,6.71418182,8.023484847,5.1,1.08675286,6.7,2.7,75.0039,2.6,0.001613758,0.2,14.2,11.7,-0.008899103,-1.9,33.121
7/1/02,-0.02,3.7,-8.2,108.67,3.88,5.781607009,9.205,5.7,6.351045453,7.625181817,4.26,0.42632067,-0.6,-0.3,75.3277,7.5,0.00780981,2.7,5.1,2.1,-0.052562969,3.9,28.665
10/1/02,0.04,2.9,-4.3,108.635,3.88,5.938161781,9.14,5.8,6.28080656,7.599858737,4.006666667,0.31376892,-0.2,2.4,75.3119,10.2,-0.000793234,3.5,6.8,-6.4,-0.058926792,-7.4,43.398
1/1/03,-0.03,4.1,-7.2,107.794,3.65,5.955891784,9.056,5.9,6.00352548,7.11783626,3.92,1.01195952,3.1,0.9,75.8529,6,0.010381299,2.9,-2,0.4,-0.025720528,1.5,39.873
4/1/03,0.00,4.7,-7.5,108.153,3.56,6.225613254,8.932,6.2,5.30936508,6.473809523,3.62,0.36429872,2.8,5,75.3738,8.2,0.013103182,0.6,5.8,-0.6,-0.020026046,16.7,-9.223
7/1/03,-0.02,9.3,-12.1,107.083,3.27,6.148407778,8.941,6.1,5.695995673,6.806089467,4.233333333,0.49001815,15.4,6.9,75.9427,9.8,0.022431155,0.4,6.8,11.6,0.116961638,13.7,2.8
