Label,deathrate,percent change in gdp,percent change in commercial and industrial loans,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V,births,aaa,baa,tr10 ,CPI gr prev prd,rg priv dom invet chng precd perd,real dis per income cfpp,caputz index,deposits combanks,GPDI,NFB R output ph,Manuf real output,real imports GS pcfpp,real exports GS pcfpp,net dom invest priv busin,real GPDI fixed equip,chng real priv inventories,RGDP,IP index,NROU,CAPUTL,LLBAC,population
7/1/92,154,6.1,-3.2,111.002,5.25,7.722782324,6.735,184,7.98,8.703333333,6.616666667,0.78683834,3.2,1.9,80.7853,-0.3,1024.162,65.215,3.9,6.5,8.8,149.841,9.4,27.256,9732.979,65.4525,5.553059,80.7853,-0.3,257386
10/1/92,159,7.1,-1.1,110.092,4.76,7.558866023,6.584,178,8.023333333,8.87,6.743333333,0.70972321,12.8,1.8,81.1595,2.2,1057.962,65.611,4.3,9.9,2,167.58,15.6,31.266,9834.51,66.1438,5.537511,81.1595,2.1,258277
1/1/93,167,2.9,-2.2,109.469,4.41,7.248028086,6.508,195,7.733333333,8.403333333,6.28,0.84566596,9.8,1.5,81.4695,-0.8,1083.829,65.046,5.3,9,0.9,185.55,7.8,53.972,9850.973,66.7298,5.522455,81.4695,1.7,259039
4/1/93,160,4.8,-3.5,110.316,4.01,7.188332035,6.406,181,7.406666667,8.14,5.99,0.76869322,2.3,1.2,81.3046,3.6,1094.479,64.661,3.5,8.5,4.9,183.728,17,36.417,9908.347,66.8818,5.50790453,81.3046,3.2,259826
7/1/93,148,4.4,-0.9,109.553,3.61,6.909896501,6.289,191,6.893333333,7.623333333,5.616666667,0.39297272,-2.7,0.3,81.2694,1.3,1095.852,64.944,2.6,5.4,-1.1,165.281,4.7,2.412,9955.641,67.1443,5.49386454,81.2694,5.3,260714
10/1/93,154,7.9,-1.8,109.324,3.05,6.766792213,6.25,182,6.843333333,7.553333333,5.606666667,0.69076675,22.7,2.8,82.068,0.5,1153.142,65.198,3.4,17.1,13.5,199.493,23.9,20.25,10091.049,68.1632,5.48034143,82.068,4.4,261547
1/1/94,164,5.9,4.4,107.993,2.79,6.642259721,6.264,185,7.16,7.846666667,6.066666667,0.64029271,16.1,2.7,82.5367,-0.3,1201.675,65.394,3.4,9.6,4,231.183,11.8,64.167,10188.954,69.0083,5.46733856,82.5367,6,262250
4/1/94,162,7.6,9.9,108.306,2.4,6.251687685,6.339,196,7.946666667,8.596666667,7.083333333,0.63621904,21.2,4.1,83.3533,-1.9,1264.948,65.445,5.3,15.8,14.2,272.746,2.4,115.84,10327.019,70.2582,5.454845,83.3533,7.2,263020
7/1/94,156,4.7,10.9,108.217,2.22,6.058349837,6.369,201,8.173333333,8.84,7.333333333,0.88055995,-6.4,2.4,83.6367,1.2,1251.749,65.074,6.5,11.7,15.8,251.721,10.8,72.329,10387.382,71.1555,5.442838,83.6367,10.3,263870
10/1/94,174,7,10.8,107.359,2.18,5.676887203,6.479,192,8.57,9.206666667,7.836666667,0.47000895,17.5,5.9,84.5304,0.6,1307.566,65.764,7.2,11.7,9.6,299.003,26.3,101.641,10506.372,72.632,5.431291,84.5304,11.1,264678
