DATE,deathrate,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V,births,aaa,baa,tr10 ,caputz index,GPDI,NFB R output ph,OUTMS,IMPGSC,EXPGSC,GDPIC,real GPDI fixed equip,chng real priv inventories,RGDP,IP index,NROU,CAPUTL,LLBAC,population,DPIC96,IRLTLT01USQ156N,DPSACBQ158SBOG,RSAHORUSQ156S,PINCOME,CP,LES1252881600Q,A067RP1Q027SBEA,MABMM301USQ657S,USAGFCFQDSMEI,SPASTT01USQ661N,HOHWMN02USQ065S,LRAC25MAUSQ156S,ULQELP01USQ657S,LCULMN01USQ661S,IRSTCI01USQ156N,PITGCG01USQ661N,PRMNTO01USQ657S,USAPROINDQISMEI,CSINFT02USQ460S,LFEAAGTTUSQ647S,IRSTFR01USQ156N,LFWA24TTUSQ647S,LRIN25MAUSQ156S,PRS84006173,PRS88003173,LREM64TTUSQ156S,PRS30006013,WASCUR,DRIWCIL
7/1/92,-0.191462461,0.179842507,0.201824483,0.191594823,0.308401287,-0.098706326,0.035266011,0.045686096,0.033904467,-0.103655736,-0.128715207,0.004470585,-0.132763112,-0.15237106,-0.088546379,-0.133012432,-0.044757194,-0.084492955,-0.133018562,-0.13545432,0.206078597,-0.103655736,-0.215342551,-0.198908565,-0.125508023,0.033904467,-0.100239958,0.112451519,-0.164792209,-0.102505301,-0.098706326,-0.015953437,-0.067911856,-0.170767708,-0.367132061,-0.165117512,0.171182885,0.118985466,0.051397533,0.013295614,-0.098706327,-0.036344559,-0.135454321,-0.087196419,0.015730946,0.013295614,0.178825022,-0.149460656,0.15061303,0.138468282,-0.111706439,-0.142659582,-0.157701929,-0.052049504
10/1/92,0,0.080204083,0.153387673,0.158230776,0.189028724,0.098706326,0.046138654,0.082714559,0.059268719,-0.064669272,-0.08620994,0.203083363,-0.099731434,-0.118344863,-0.075747457,-0.086204365,0.100421351,-0.065802344,-0.087462294,-0.093892123,0.160638314,-0.064669272,-0.119385544,-0.154400982,-0.090147356,0.059268719,0.205292008,0.304317031,-0.116919164,-0.086417742,-0.220165536,0.015953437,0.228332907,-0.121310885,-0.32150814,-0.132407059,0.076591712,0.185192995,0.216280714,-0.047961538,-0.055916903,-0.093158367,-0.093890089,-0.1641182,-0.015730946,-0.047961538,0.147485638,-0.053748651,0.064632342,0.104226042,-0.167751779,-0.054267071,-0.109784283,-0.164098944
1/1/93,0.341344746,0.008417104,0.1171221,0.091645937,0.118820302,-0.098706326,-0.026884052,-0.021756516,-0.033904467,-0.031870532,-0.052954345,-0.083791165,-0.05623912,-0.085988663,-0.069917825,-0.04799818,-0.08203435,0.041581761,-0.079944988,-0.057790631,0.114279197,-0.031870532,-0.136104803,-0.114532976,-0.060390264,-0.033904467,-0.160086206,-0.112451519,-0.100852407,-0.088939216,-0.033206752,-0.110261248,-0.256387171,-0.111844715,-0.140639973,-0.087293469,-0.004533337,-0.111149563,-0.277160869,-0.017384286,0,-0.011128918,-0.05778856,0.060620414,-0.114856475,-0.017384286,0.159483006,-0.003640169,0.020594899,0.096777402,-0.107899587,-0.100768354,-0.115120225,-0.199639683
4/1/93,0,0.105499342,0.07439948,0.078480438,0.018513882,-0.098706326,-0.107947162,-0.080510055,-0.091605356,-0.049358698,-0.039139331,-0.26398579,-0.041965725,-0.053871483,-0.038907884,-0.038370646,0.132046369,-0.041581761,-0.05353568,-0.048334687,0.067859654,-0.049358698,-0.072334371,-0.072050386,-0.035422376,-0.091605356,0.33747346,0,-0.052990777,-0.054536879,0.098706326,-0.094834872,0.103617263,-0.068623557,-0.095750117,-0.029307579,0.040729898,-0.049030525,0.062626794,-0.023513734,0.244168358,-0.19105278,-0.048332611,0.100343878,-0.135753159,-0.023513734,0.076972669,-0.033064534,0.104426074,0.052326714,-0.053600843,-0.068114267,-0.058473681,0.076577849
7/1/93,-0.341344746,0.018164402,0.030784238,0.016145192,-0.097614344,0.098706326,-0.22525508,-0.189638513,-0.162898812,-0.053080555,-0.037354495,-0.135357871,-0.033594933,-0.032769088,-0.045932226,-0.049798138,-0.151928602,-0.194607044,-0.031580775,-0.031942813,0.022153884,-0.053080555,0.019828738,-0.023117757,-0.028339905,-0.162898812,0.100239958,0,-0.025986663,-0.023786624,0.220165536,-0.341344746,0.122126299,-0.04218186,0.020672373,-0.029307579,0.040729898,-0.075344437,0.141345055,-0.013295614,0,-0.223720616,-0.031940727,0.188472562,-0.137483264,-0.013295614,-0.093324696,-0.016797533,0.046299488,0.043353122,-0.015280123,-0.045497406,-0.027423174,0.066796587
10/1/93,-0.191462461,-0.008417104,-0.030784238,-0.016145192,-0.134969322,-0.098706326,-0.235697519,-0.203445726,-0.164742859,0.031870532,0.037354495,-0.004470585,0.033594933,0.032769088,0.038907884,0.038370646,0.272034017,-0.116669924,0.031580775,0.031942813,-0.022153884,0.031870532,-0.019828738,0.023117757,0.028339905,-0.164742859,-0.012662707,0.112451519,0.025986663,0.023786624,0.220165536,0.094834872,0.177711782,0.04218186,0.134038157,0.029307579,0.004533337,0.172652069,0.222505703,-0.039827837,-0.098706327,0.131050496,0.031940727,-0.1641182,-0.107240602,-0.039827837,-0.070609297,0.003640169,-0.020594899,-0.043353122,0.015280123,0.045497406,0.027423174,-0.145735261
1/1/94,0,-0.158535363,-0.059209579,-0.044166466,-0.121686126,-0.098706326,-0.166375351,-0.143849536,-0.076490496,0.08130377,0.09972937,0.097622665,0.077561739,0.071988401,0.065366974,0.104615323,0.011801304,0.089283352,0.076848242,0.08438278,-0.064506739,0.08130377,0.050558224,0.061921711,0.082054415,-0.076490496,-0.100239958,0,0.058445449,0.095112742,0.033206752,-0.079259709,0.021482135,0.05562106,0.199161975,0.029307579,-0.154584385,0.013621632,-0.097107702,0.03779167,-0.068232102,0.011128918,0.084384826,-0.113378526,0.04605995,0.03779167,0.023188707,0.150193781,-0.176500118,-0.093076019,0.061810454,0.047424507,0.040433992,0.148050417
4/1/94,0,-0.124520408,-0.101237577,-0.130019303,-0.048434227,0.273372648,0.026884052,0.021756516,0.125886186,0.164020652,0.177160962,0.123405188,0.164536804,0.134501357,0.154380635,0.188572327,-0.200773757,0.299662846,0.138868182,0.159013433,-0.104520649,0.164020652,0.102440257,0.103737559,0.161302811,0.125886186,-0.276941576,-0.112451519,0.12464217,0.126416569,0.098706326,0.264237502,-0.021482135,0.109604131,-0.020672373,0.175762711,-0.234014472,0.15812853,-0.075901545,0.212784741,0.031135688,0.255454223,0.159015356,0.00676141,0.09692077,0.212784741,-0.023188707,0.229290579,-0.136999159,-0.117650733,0.116401309,0.159056393,0.11982984,0.143414707
7/1/94,-0.341344746,-0.134304984,-0.120276439,-0.1704972,-0.018513882,0.273372648,0.083458102,0.076093526,0.172687461,0.191180143,0.16150236,-0.069337162,0.215682077,0.181144185,0.246576364,0.160151375,-0.011801304,0.126576337,0.164977767,0.209165725,-0.141969496,0.191180143,0.226482802,0.148531954,0.204774242,0.172687461,0.087929552,-0.112451519,0.164417723,0.174804418,-0.098706326,0.110261248,-0.083557456,0.150910262,0.07864163,0.154337959,-0.248715965,-0.041995757,-0.051397533,0.290366134,0.202377226,0.078410735,0.209167523,0.151669059,0.115478252,0.290366134,-0.054265374,0.245855862,-0.134637649,-0.156682806,0.176449026,0.371266144,0.158001515,-0.044647578
10/1/94,0.191462461,-0.223404749,-0.124469773,-0.244442087,0.090802987,0.098706326,0.177793833,0.155005915,0.258588435,0.269753153,0.225509249,0.268831257,0.293321129,0.226295977,0.297960074,0.228544399,0.312615018,0.249049766,0.214085125,0.283261249,-0.176743086,0.269753153,0.255093957,0.189290427,0.29969389,0.258588435,0.012662707,0.112451519,0.227507259,0.203760319,-0.098706326,0.406582491,-0.134023717,0.198697686,0.032624689,0.186266137,-0.154584385,-0.013621632,-0.072184982,0.380386895,0.163441868,0.290532469,0.283264329,-0.00676141,0.236080127,0.380386895,-0.126789535,0.170406998,-0.219274835,-0.195947285,0.280574026,0.463190656,0.212099899,0.044647578
